"SampleSize","Distribution","EffectSize","Simulations","T_SigRate","MW_SigRate","Agreement_2G","T_only","MW_only","PvalCorr_2G","ANOVA_SigRate","KW_SigRate","Agreement_3G","ANOVA_only","KW_only","PvalCorr_3G"
100,"flat",0.2,3000,0.681,0.647666666666667,0.962,0.0356666666666667,0.00233333333333333,0.988521955713821,0.995666666666667,0.987333333333333,0.991666666666667,0.00833333333333333,0,0.960255863857187
100,"flat",0.5,3000,1,1,1,0,0,0.943684800857418,1,1,1,0,0,0.859041292922827
200,"normal",0,1500,0.054,0.0526666666666667,0.978666666666667,0.0113333333333333,0.01,0.919924892416813,0.0473333333333333,0.0393333333333333,0.978666666666667,0.0146666666666667,0.00666666666666667,0.941392141716409
200,"normal",0.2,1500,0.520666666666667,0.514,0.929333333333333,0.0386666666666667,0.032,0.953913073319456,0.959333333333333,0.95,0.978666666666667,0.0153333333333333,0.006,0.963059235017108
200,"normal",0.5,1500,0.998666666666667,0.998,0.999333333333333,0.000666666666666667,0,0.937981753029843,1,1,1,0,0,0.512074896080725
200,"skewed",0,1500,0.05,0.0493333333333333,0.95,0.0253333333333333,0.0246666666666667,0.694121740820294,0.0486666666666667,0.054,0.954666666666667,0.02,0.0253333333333333,0.750969778587838
200,"skewed",0.2,1500,0.965333333333333,0.976,0.973333333333333,0.008,0.0186666666666667,0.835623972347465,1,1,1,0,0,0.34789014417103
200,"skewed",0.5,1500,1,1,1,0,0,0.348770723652335,1,1,1,0,0,0.990599705144373
200,"heavy_tail",0,1500,0.0506666666666667,0.0586666666666667,0.950666666666667,0.0206666666666667,0.0286666666666667,0.640627128527423,0.0533333333333333,0.056,0.954666666666667,0.0213333333333333,0.024,0.667201000435212
200,"heavy_tail",0.2,1500,0.226666666666667,0.342,0.83,0.0273333333333333,0.142666666666667,0.695660950026048,0.564666666666667,0.822,0.732,0.00533333333333333,0.262666666666667,0.650237648640189
200,"heavy_tail",0.5,1500,0.854,0.974666666666667,0.879333333333333,0,0.120666666666667,0.550332592476951,0.998,1,0.998,0,0.002,0.0198605096978949
200,"flat",0,1500,0.0486666666666667,0.0506666666666667,0.994,0.002,0.004,0.995788554986727,0.0513333333333333,0.052,0.998,0.000666666666666667,0.00133333333333333,0.998351108629417
200,"flat",0.2,1500,0.931333333333333,0.912666666666667,0.981333333333333,0.0186666666666667,0,0.989430960537634,1,1,1,0,0,0.94904040612377
200,"flat",0.5,1500,1,1,1,0,0,0.833570244411556,1,1,1,0,0,0.999538399456551
500,"normal",0,1500,0.05,0.0466666666666667,0.978,0.0126666666666667,0.00933333333333333,0.915801686053264,0.0413333333333333,0.0386666666666667,0.981333333333333,0.0106666666666667,0.008,0.940341363471611
500,"normal",0.2,1500,0.898666666666667,0.880666666666667,0.962,0.028,0.01,0.945747542108091,1,1,1,0,0,0.967414755316645
500,"normal",0.5,1500,1,1,1,0,0,0.743002918687521,1,1,1,0,0,0.562579397315152
500,"skewed",0,1500,0.054,0.046,0.958666666666667,0.0246666666666667,0.0166666666666667,0.702174398084435,0.046,0.0446666666666667,0.961333333333333,0.02,0.0186666666666667,0.768770395116664
500,"skewed",0.2,1500,1,1,1,0,0,0.776735278557647,1,1,1,0,0,0.812367675812294
500,"skewed",0.5,1500,1,1,1,0,0,0.074940484256378,1,1,1,0,0,-0.000791862436572669
500,"heavy_tail",0,1500,0.0473333333333333,0.0573333333333333,0.943333333333333,0.0233333333333333,0.0333333333333333,0.596361232563244,0.0486666666666667,0.056,0.955333333333333,0.0186666666666667,0.026,0.660692441447726
500,"heavy_tail",0.2,1500,0.473333333333333,0.718,0.727333333333333,0.014,0.258666666666667,0.673728423117458,0.916666666666667,0.999333333333333,0.917333333333333,0,0.0826666666666667,0.411088554200669
500,"heavy_tail",0.5,1500,0.99,1,0.99,0,0.01,0.459610697118148,1,1,1,0,0,-0.000699254509654393
500,"flat",0,1500,0.0566666666666667,0.0566666666666667,0.997333333333333,0.00133333333333333,0.00133333333333333,0.998370718589437,0.0486666666666667,0.0473333333333333,0.998666666666667,0.00133333333333333,0,0.999313141695902
500,"flat",0.2,1500,1,0.999333333333333,0.999333333333333,0.000666666666666667,0,0.992126358323497,1,1,1,0,0,0.969763817931309
500,"flat",0.5,1500,1,1,1,0,0,0.999999941896364,1,1,1,0,0,0.645462276300934
1000,"normal",0,800,0.05625,0.0575,0.98125,0.00875,0.01,0.912554465870923,0.0525,0.04125,0.98375,0.01375,0.0025,0.935087120097581
1000,"normal",0.2,800,0.9925,0.99375,0.99875,0,0.00125,0.994286907193239,1,1,1,0,0,0.888014452651685
1000,"normal",0.5,800,1,1,1,0,0,0.993008996260759,1,1,1,0,0,0.999936281256289
1000,"skewed",0,800,0.0475,0.03875,0.95875,0.025,0.01625,0.689569156930275,0.0525,0.045,0.95,0.02875,0.02125,0.761315727858143
1000,"skewed",0.2,800,1,1,1,0,0,0.647876399125717,1,1,1,0,0,0.0189802327674708
1000,"skewed",0.5,800,1,1,1,0,0,-0.00157846076570552,1,1,1,0,0,NA
1000,"heavy_tail",0,800,0.04375,0.035,0.95125,0.02875,0.02,0.556071791538629,0.04875,0.0575,0.95875,0.01625,0.025,0.650265460643153
1000,"heavy_tail",0.2,800,0.7775,0.94125,0.82875,0.00375,0.1675,0.557833535299396,0.99125,1,0.99125,0,0.00875,0.016098860558756
1000,"heavy_tail",0.5,800,1,1,1,0,0,0.0998186073531375,1,1,1,0,0,-0.00127009413162812
1000,"flat",0,800,0.05,0.05125,0.99875,0,0.00125,0.999114894451845,0.05625,0.05625,1,0,0,0.999641609382037
1000,"flat",0.2,800,1,1,1,0,0,0.980642531719829,1,1,1,0,0,0.999035421894351
1000,"flat",0.5,800,1,1,1,0,0,0.999672492869744,1,1,1,0,0,NA
5000,"normal",0,300,0.0533333333333333,0.0566666666666667,0.976666666666667,0.01,0.0133333333333333,0.929778883632726,0.0433333333333333,0.0333333333333333,0.983333333333333,0.0133333333333333,0.00333333333333333,0.944916345884768
5000,"normal",0.2,300,1,1,1,0,0,0.317122678778021,1,1,1,0,0,0.999975391199858
5000,"normal",0.5,300,1,1,1,0,0,1,1,1,1,0,0,NA
5000,"skewed",0,300,0.0433333333333333,0.03,0.96,0.0266666666666667,0.0133333333333333,0.718532530978644,0.0466666666666667,0.04,0.966666666666667,0.02,0.0133333333333333,0.820214313289268
5000,"skewed",0.2,300,1,1,1,0,0,0.597888721385468,1,1,1,0,0,NA
5000,"skewed",0.5,300,1,1,1,0,0,NA,1,1,1,0,0,NA
5000,"heavy_tail",0,300,0.04,0.0366666666666667,0.963333333333333,0.02,0.0166666666666667,0.503351747214369,0.0633333333333333,0.0466666666666667,0.936666666666667,0.04,0.0233333333333333,0.579998340660602
5000,"heavy_tail",0.2,300,1,1,1,0,0,0.00344249287336334,1,1,1,0,0,0.00286838137544244
5000,"heavy_tail",0.5,300,1,1,1,0,0,-0.00366577309145547,1,1,1,0,0,NA
5000,"flat",0,300,0.0366666666666667,0.0366666666666667,1,0,0,0.999800108754588,0.05,0.05,1,0,0,0.999943878130063
5000,"flat",0.2,300,1,1,1,0,0,0.966281399376313,1,1,1,0,0,NA
5000,"flat",0.5,300,1,1,1,0,0,NA,1,1,1,0,0,NA
10000,"normal",0,300,0.06,0.0733333333333333,0.98,0.00333333333333333,0.0166666666666667,0.915498110889566,0.05,0.04,0.976666666666667,0.0166666666666667,0.00666666666666667,0.933255747777702
10000,"normal",0.2,300,1,1,1,0,0,0.166079934108277,1,1,1,0,0,0.0331105899691212
10000,"normal",0.5,300,1,1,1,0,0,NA,1,1,1,0,0,NA
10000,"skewed",0,300,0.0466666666666667,0.05,0.963333333333333,0.0166666666666667,0.02,0.618649503414694,0.05,0.05,0.953333333333333,0.0233333333333333,0.0233333333333333,0.791195199427018
10000,"skewed",0.2,300,1,1,1,0,0,0.03626370798474,1,1,1,0,0,NA
10000,"skewed",0.5,300,1,1,1,0,0,NA,1,1,1,0,0,NA
10000,"heavy_tail",0,300,0.05,0.0433333333333333,0.946666666666667,0.03,0.0233333333333333,0.563343591921093,0.0366666666666667,0.0533333333333333,0.943333333333333,0.02,0.0366666666666667,0.631096917542794
10000,"heavy_tail",0.2,300,1,1,1,0,0,0.0521471236167279,1,1,1,0,0,-0.00362485668952876
10000,"heavy_tail",0.5,300,1,1,1,0,0,0.999999999004939,1,1,1,0,0,NA
10000,"flat",0,300,0.05,0.05,1,0,0,0.999900168448748,0.04,0.0433333333333333,0.996666666666667,0,0.00333333333333333,0.999964246764107
10000,"flat",0.2,300,1,1,1,0,0,0.992128755043942,1,1,1,0,0,NA
10000,"flat",0.5,300,1,1,1,0,0,NA,1,1,1,0,0,NA
